id,cuisine,ingredients
1174,American,butter bean lemon_juice
1175,Thai,coriander beef shallot lime_juice fish black_pepper scallion cucumber rice mint
1176,American,turkey tomato green_bell_pepper wheat onion thyme chicken_broth bay garlic catfish vegetable_oil shrimp
1177,American,cane_molasses butter wheat vanilla almond oat cinnamon yogurt blueberry
1178,Mediterranean,butter olive_oil parmesan_cheese garlic rosemary bread
1179,American,cane_molasses butter almond wheat orange_peel orange_juice yam bell_pepper sweet_potato
1180,American,olive_oil walnut grape_juice feta_cheese strawberry
1181,American,vinegar onion potato celery cucumber vegetable_oil egg
1182,Asian,peanut_oil cane_molasses onion beef sake lime_peel_oil soy_sauce lime_juice honey mint
1183,American,butter orange_peel wheat vanilla buttermilk egg blueberry
1184,Central_SouthAmerican,vegetable_oil egg cinnamon cayenne cumin
1185,Cajun_Creole,butter tomato pepper green_bell_pepper onion thyme black_pepper chicken_broth cayenne sage bay celery garlic bell_pepper chicken rice
1186,MiddleEastern,coriander olive_oil cilantro lemon_juice onion sage cayenne cumin scallion black_pepper milk_fat fennel garlic yogurt mint milk egg bread
1187,Asian,vinegar chicken_broth ginger chicken carrot barley soybean vegetable_oil cabbage rice soy_sauce bell_pepper
1188,Greek,dill lemon_juice olive_oil scallion lettuce cucumber garlic
1189,Asian,sake soy_sauce wasabi scallion honey scallop horseradish sesame_seed
1190,Southern_SoulFood,butter wheat starch ginger honey pecan cinnamon lard pumpkin egg cream
1191,American,vinegar mustard onion cider seed turmeric
1192,American,coriander fenugreek pepper grape onion lime_juice chicken_broth cashew black_pepper cumin ginger honey mango yogurt vegetable_oil chicken egg turmeric
1193,Central_SouthAmerican,tomato olive_oil coconut green_bell_pepper onion fish lime_juice cilantro scallion garlic bell_pepper shrimp
1194,American,olive_oil clam thyme potato corn bacon parsley scallop garlic leek cream
1195,American,butter coconut wheat cherry vanilla almond cherry_brandy milk_fat brandy cinnamon vegetable_oil milk
1196,Southern_SoulFood,butter cheese wheat onion corn cayenne buttermilk bell_pepper basil egg
1197,Mediterranean,corn almond egg vanilla cream
1198,Italian,garlic macaroni black_pepper parsley olive_oil
1199,Southern_SoulFood,butter buttermilk raspberry wheat cherry
1200,Asian,coriander coconut beef roasted_peanut shallot cayenne onion ginger fennel palm galanga vegetable_oil tamarind lemongrass turmeric
1201,American,tomato olive_oil vinegar cayenne shrimp sherry scallion
1202,Jewish,honey wheat yeast egg vegetable_oil
1203,Japanese,butter soy_sauce macaroni seaweed scallion
1204,American,olive_oil lemon_juice lemon onion potato chicken_broth black_pepper chicken zucchini
1205,French,tomato vinegar mustard thyme olive_oil shallot leek chicken_broth red_wine tabasco_pepper parsley saffron white_wine fennel carrot garlic vegetable_oil egg fish bread
1206,Irish,lamb butter wheat thyme tarragon shallot rosemary chicken_broth sage parsley white_wine vegetable_oil mint rutabaga
1207,American,turkey olive_oil pepper meat onion cayenne chicken_broth lime_juice pork cumin cilantro garlic tomato chicken seed
1208,Italian,butter tomato potato parsley parmesan_cheese macaroni basil porcini cream
1209,French,butter wheat apricot corn almond cocoa egg vanilla cream
1210,American,cane_molasses turkey lemon_juice lemon meat onion starch tea milk celery bergamot rosemary olive_oil
1211,Vietnamese,cane_molasses coconut cayenne fish pork soybean mint lime cilantro lime_juice scallion basil vegetable_oil rice lemongrass mushroom black_pepper garlic mung_bean onion shrimp root turmeric
1212,American,cane_molasses vinegar lemon_juice wheat mustard onion yeast salmon corn black_pepper celery cucumber bell_pepper tabasco_pepper vegetable_oil yogurt lemon tamarind butter egg
1213,Jewish,starch
1214,Italian,strawberry raspberry cheese buttermilk cream
1215,American,tomato olive_oil lemon_juice black_pepper shrimp garlic chive chicken white_wine cream
1216,Mexican,butter tomato pepper green_bell_pepper onion chicken_broth cayenne cilantro cumin garlic
1217,American,butter vanilla almond wheat
1218,French,olive_oil lemon_juice mustard fruit garlic egg
1219,Moroccan,olive_oil lemon_juice lemon onion dill fish anise black_pepper fennel
1220,American,butter vinegar mustard tarragon parsley scallion vegetable_oil chicken pea
1221,Mexican,tomato butter cilantro onion cheese avocado corn lime_juice cumin garlic egg cayenne
1222,Chinese,peanut_oil chive rice garlic cayenne
1223,Italian,olive_oil chickpea wheat parsley parmesan_cheese
1224,Jewish,asparagus dill chicken_broth pea
1225,American,orange vanilla orange_juice brandy peach
1226,English_Scottish,tomato cane_molasses pepper wheat onion beef vinegar black_pepper thyme beer garlic butter lard vegetable_oil beef_broth egg tamarind
1227,Scandinavian,lamb vinegar mustard olive_oil cardamom cider vegetable_oil rosemary apple
1228,American,butter coconut wheat vanilla milk_fat egg milk
1229,American,butter basil corn shrimp scallion
1230,Italian,turkey beef onion bay fennel carrot garlic lentil rosemary pork_sausage
1231,Southwestern,tomato olive_oil cilantro beef onion lime_juice corn cayenne cumin black_pepper mango garlic oregano avocado
1232,French,butter egg wheat milk yeast
1233,Moroccan,butter olive_oil cilantro onion apricot almond black_pepper parsley ginger honey garlic cinnamon chicken turmeric
1234,American,vinegar shallot orange_juice honey pistachio seed orange rice
1235,Mexican,tomato onion lime cayenne avocado cumin black_pepper garlic bell_pepper oregano olive cheddar_cheese cream
1236,American,butter vinegar cayenne cider celery blue_cheese yogurt vegetable_oil chicken egg
1237,English_Scottish,butter orange_peel wheat cherry vanilla almond cocoa buttermilk egg milk
1238,Mexican,tomato cheese pepper wheat onion vinegar corn cayenne garlic oregano rice egg
1239,American,butter coconut rice egg vanilla
1240,Central_SouthAmerican,butter wheat almond cocoa cinnamon egg
1241,Asian,turkey sesame_oil onion starch soy_sauce almond celery vegetable_oil cabbage rice chicken_broth
1242,Scandinavian,coriander fenugreek pepper vinegar cider black_pepper cumin garlic vegetable_oil turmeric
1243,American,olive_oil zucchini garlic parsley bell_pepper
1244,American,vinegar pepper lemon_juice olive_oil black_pepper soy_sauce salmon ginger scallion garlic soybean
1245,French,vanilla lemon_juice blackberry cream_cheese cream
1246,American,tomato olive_oil wheat mozzarella_cheese basil
1247,Central_SouthAmerican,wheat yeast
1248,American,coffee beef onion black_pepper cayenne cumin maple_syrup garlic oregano vegetable_oil lime_juice
1249,Thai,cilantro beef shallot cayenne fish lime_juice scallion cabbage mint lemongrass
1250,Italian,butter cheese lemon cream_cheese apricot vanilla white_wine cinnamon sour_cherry wheat egg fig
1251,American,tomato olive_oil cilantro onion cheese cayenne shrimp garlic
1252,Indian,tomato olive_oil kale cumin brassica garlic
1253,Cajun_Creole,butter lemon_juice wheat starch vanilla lard vegetable lemon egg milk
1254,French,asparagus butter chicken_broth lemon_juice onion
1255,Japanese,vinegar rice seaweed
1256,French,butter garlic thyme potato
1257,Italian,butter olive_oil starch roasted_pork chicken_broth potato black_pepper garlic truffle rosemary
1258,American,peach wine
1259,Italian,butter olive_oil pork wheat onion beef white_wine celery carrot nutmeg tomato macaroni milk
1260,Mexican,tomato mushroom onion chicken_broth cayenne garlic oregano vegetable_oil
1261,American,butter orange_peel sweet_potato
1262,Irish,cane_molasses caraway wheat buttermilk seed vegetable_oil egg whole_grain_wheat_flour
1263,Asian,coriander vinegar pepper caraway cauliflower celery carrot beet sesame_seed mandarin_peel rice seed
1264,American,butter olive_oil wheat ham cheese shallot fish parsley parmesan_cheese garlic smoke vegetable vegetable_oil egg
1265,American,butter black_pepper cayenne parmesan_cheese walnut rosemary
1266,Southern_SoulFood,butter cane_molasses mustard onion vinegar cayenne macaroni tamarind cheddar_cheese egg milk
1267,American,vegetable butter wheat egg cocoa
1268,Southern_SoulFood,turkey bourbon_whiskey corn wheat bread
1269,Italian,tomato olive_oil mushroom onion romano_cheese white_wine fennel garlic butter oregano basil macaroni pork_sausage
1270,Asian,vinegar soy_sauce rice cayenne ginger
1271,American,butter wheat egg cinnamon buttermilk
1272,American,butter cherry vanilla cherry_brandy cocoa brandy bread egg milk cream
1273,Asian,vinegar pork onion beef black_bean tea soy_sauce cider vegetable_oil ginger maple_syrup garlic black_tea sherry
1274,Mexican,tomato olive_oil cilantro wheat cheese corn cayenne bell_pepper pimento olive cream
1275,Irish,onion potato bacon celery beef_broth pork_sausage
1276,Thai,tomato pork shallot fish cayenne shrimp bean carrot garlic vegetable_oil cabbage
1277,Italian,butter squash parmesan_cheese macaroni rosemary zucchini
1278,Asian,butter vinegar pork wheat mushroom shallot cayenne fish lime_juice shrimp black_pepper bean carrot garlic lard vegetable_oil rice egg bread
1279,Southwestern,olive_oil pepper beef starch black_pepper horseradish garlic bell_pepper oregano cream
1280,Asian,peanut_oil cane_molasses pepper lemon_juice shallot peanut fish cumin ginger garlic coriander
1281,Asian,pepper wheat sesame_oil soy_sauce cayenne cilantro ginger scallion vegetable_oil chicken egg
1282,American,cane_molasses wheat vanilla milk_fat currant vegetable_oil pecan egg milk
1283,Indian,coriander tomato mustard onion cayenne cumin ginger celery vegetable carrot garlic chive vegetable_oil lentil turmeric
1284,American,vinegar sesame_oil cayenne ginger bell_pepper cabbage rice pea
1285,American,dill mustard onion vinegar potato celery vegetable_oil egg
1286,American,vinegar cilantro onion black_bean tabasco_pepper black_pepper garlic bell_pepper rice
1287,Greek,olive_oil feta_cheese lettuce bell_pepper oregano olive
1288,EasternEuropean_Russian,butter wheat apricot vanilla cocoa egg cream
1289,Italian,orange_peel apricot white_wine cherry
1290,Asian,vinegar pork wheat mushroom onion sake soy_sauce pepper ginger bean garlic bell_pepper soybean
1291,Irish,cane_molasses wheat corn raisin buttermilk oat vegetable_oil whole_grain_wheat_flour
1292,Chinese,sesame_oil egg_noodle chicken_broth ginger scallion garlic sherry egg soy_sauce
1293,American,coriander fenugreek pepper lemon_juice avocado cumin mango turkey lettuce cilantro cucumber smoke vegetable_oil bread egg turmeric
1294,American,butter parsley potato
1295,American,tomato olive_oil cilantro onion cheese black_bean cayenne cumin scallion garlic bell_pepper oregano cream
1296,Central_SouthAmerican,tomato olive_oil green_bell_pepper onion cheese corn starch cayenne parsley garlic bell_pepper olive turmeric
1297,MiddleEastern,coriander olive_oil beef vinegar red_wine cayenne cumin parsley cinnamon chicken
1298,Spanish_Portuguese,olive_oil ham cayenne parsley shrimp garlic bell_pepper sherry bread
1299,German,butter wheat nutmeg cinnamon hazelnut lemon raspberry egg
1300,Thai,butter vinegar wheat sesame_oil cashew ginger honey bean rice
1301,American,cane_molasses tangerine ginger honey grapefruit cinnamon cranberry orange
1302,American,butter vinegar cider chicken_broth black_pepper chicken rosemary
1303,Asian,cilantro beef shallot cayenne fish lime_juice scallion cabbage mint lemongrass
1304,Italian,tomato olive_oil starch white_wine macaroni basil garlic shrimp egg
1305,American,butter lemon_juice wheat milk_fat lemon_peel strawberry blackberry lard vegetable egg milk cream
1306,Spanish_Portuguese,orange_peel olive_oil cilantro orange_juice orange garlic pimento olive chicken rice
1307,American,olive_oil endive vinegar shallot chicory scallop
1308,Cajun_Creole,butter wheat onion milk_fat nutmeg milk cream
1309,American,cheese wheat yeast nut buttermilk cream_cheese chive vegetable_oil bread egg milk cream
1310,Asian,peanut_oil grape_juice sesame_oil roasted_peanut egg_noodle soy_sauce cayenne ginger scallion garlic basil
1311,American,cane_molasses butter vanilla raisin ginger nutmeg cinnamon bread pumpkin egg cream
1312,Cajun_Creole,tomato olive_oil green_bell_pepper thyme onion cayenne white_wine garlic bell_pepper basil rice ham
1313,Italian,olive_oil onion chicken_broth black_pepper bay celery carrot lentil
1314,EasternEuropean_Russian,butter vanilla wheat starch apricot nut milk_fat hazelnut egg milk
1315,American,butter wheat starch vanilla banana milk_fat egg milk cream
1316,Italian,butter orange_peel cheese chicken_broth parmesan_cheese scallion buttermilk white_wine rice cream
1317,African,butter coriander pepper wheat apple onion fenugreek almond cumin currant sherry chicken milk turmeric
1318,Japanese,vinegar sesame_oil salmon ginger scallion cucumber sesame_seed soybean wine vegetable_oil rice barley
1319,American,onion shallot corn cucumber chive chicken_broth
1320,French,butter gruyere_cheese bacon veal
1321,African,butter lemon_juice lemon rose orange_juice almond cinnamon vegetable_oil wheat egg
1322,American,vanilla fruit milk oatmeal cream
1323,American,vinegar lemon_juice apple cherry ginger white_wine celery bell_pepper
1324,Asian,shallot cayenne fish lime_juice garlic lemongrass
1325,Central_SouthAmerican,cocoa butter wheat cinnamon egg
1326,American,meat thyme chicken_broth black_pepper parsnip carrot garlic barley
1327,American,cane_molasses vinegar cilantro zucchini onion corn cayenne garlic bell_pepper smoke vegetable_oil chicken cream cabbage lime
1328,American,turkey vinegar wheat malt black_pepper maple_syrup
1329,Asian,soy_sauce ginger scallion sesame_seed cream_cheese sherry
1330,American,coriander olive_oil onion dill cayenne chicken_broth almond black_pepper parsley walnut macaroni chicken cream
1331,Italian,butter orange_peel grape chicken_broth parsley nut
1332,Asian,peanut_oil sesame_oil fish ginger scallion soy_sauce
1333,Jewish,dill wheat mustard olive_oil asparagus black_pepper vinegar cider artichoke vegetable_oil chicken lemon egg
1334,Greek,tomato olive_oil lemon_juice onion mint fish parsley cucumber lemon_peel
1335,French,butter vinegar wheat apple corn egg milk
1336,MiddleEastern,coriander cayenne black_pepper cumin ginger cinnamon
1337,Italian,butter bacon garlic pea parsley
1338,Italian,lemon_juice starch pistachio watermelon anise_seed cream
1339,African,lamb olive_oil cilantro onion chicken_broth pepper saffron ginger honey cinnamon turmeric plum sesame_seed
1340,Mediterranean,butter orange_peel wheat vanilla orange_juice walnut
1341,Mexican,tomato olive_oil cilantro onion black_bean lime_juice corn cayenne cumin chicory lettuce garlic goat_cheese vegetable_oil chicken avocado
1342,Mexican,cheese cilantro wheat corn cayenne beer
1343,American,butter wheat oatmeal cocoa milk_fat mango wine orange cream egg milk lemongrass
1344,Italian,tomato olive_oil grape_juice onion cheese parsley scallion garlic soybean mozzarella_cheese macaroni egg
1345,Mexican,tomato garlic cayenne onion vegetable_oil
1346,Asian,olive_oil onion starch plum lettuce carrot garlic nut soy_sauce vegetable sherry chicken shiitake fish
1347,French,butter mushroom chicken_broth garlic chive beef_broth rice leek cream
1348,Cajun_Creole,olive_oil lemon_juice onion tarragon vinegar fish parsley bay garlic vegetable_oil tuna egg bread
1349,Southern_SoulFood,butter corn egg milk bread
1350,American,potato black_pepper scallion fennel vegetable_oil egg cream
1351,American,butter lemon_juice mushroom black_pepper parsley bread
1352,American,vinegar pepper sesame_oil orange_juice squash ginger scallion garlic sesame_seed soybean
1353,American,olive_oil lemon beef
1354,Mexican,turkey cheese cilantro wheat lime_juice cumin smoke lard grape
1355,American,turkey butter wheat thyme chicken_broth sage rosemary bread
1356,American,vinegar rice sesame_oil beef peanut soy_sauce black_tea lime_juice cumin ginger scallion honey cayenne macaroni bell_pepper tea cucumber watercress mint peanut_butter lime
1357,Chinese,sesame_oil ginger scallion liver chicken rice wine
1358,American,butter corn garlic bell_pepper smoke
1359,American,cane_molasses butter coffee wheat yeast vanilla rum cocoa bean nutmeg cream_cheese egg milk cream
1360,Spanish_Portuguese,olive_oil onion red_wine orange bell_pepper olive pork_sausage bread
1361,Indian,mint cilantro lime_juice onion cayenne
1362,Italian,tomato olive_oil pork onion parsley parmesan_cheese white_wine cured_pork fennel garlic bread
1363,American,cilantro soy_sauce ginger shrimp garlic vegetable_oil bread
1364,French,butter peanut_oil wheat milk_fat egg milk cream
1365,American,olive_oil onion potato black_pepper blue_cheese mozzarella_cheese milk cream
1366,American,tomato olive_oil shallot garlic chicken cream
1367,Mexican,avocado cayenne onion
1368,Mediterranean,tomato olive_oil lemon_juice lemon onion shallot black_pepper parsley bean bell_pepper rosemary bread
1369,Italian,quince rosemary cinnamon
1370,American,cane_molasses butter wheat corn cocoa orange_peel hazelnut egg milk cream
1371,American,olive_oil lemon_juice lemon dill white_wine garlic artichoke chicken egg
1372,Central_SouthAmerican,coriander lemon_juice corn avocado scallion bell_pepper
1373,French,cocoa vanilla almond bitter_orange walnut honey gelatin brandy fig raspberry egg milk cream
1374,American,cilantro sesame_oil fish soy_sauce cayenne ginger scallion maple_syrup seed garlic banana
1375,Irish,butter cane_molasses wheat vanilla oat milk
1376,Central_SouthAmerican,tomato cheese corn vegetable_oil chicken_broth cream
1377,Irish,butter caraway wheat buttermilk seed chive smoked_salmon oat whole_grain_wheat_flour
1378,MiddleEastern,lamb olive_oil lemon_juice cardamom cayenne cumin saffron shallot carrot turnip bell_pepper yogurt butter leek turmeric
1379,Asian,butter coconut rice egg vanilla
1380,Mexican,tomato cayenne mint onion lime_juice
1381,American,turkey wheat onion thyme sage parsley bay celery carrot vegetable_oil chicken white_wine
1382,Asian,lemon mushroom chicken_broth scallion shrimp egg soy_sauce
1383,Mexican,butter tomato pepper mushroom onion olive_oil cayenne garlic
1384,American,butter wheat black_pepper buttermilk cheddar_cheese milk
1385,American,olive_oil lemon_juice mustard fish black_pepper parmesan_cheese lettuce garlic chicken
1386,Italian,olive_oil wine black_pepper vinegar
1387,French,butter lemon_juice tarragon shallot radish white_wine
1388,American,olive_oil cilantro cayenne black_pepper cumin scallion bell_pepper sweet_potato lime_juice
1389,Italian,tomato olive_oil onion black_pepper macaroni garlic mint
1390,French,orange_peel butter wheat peach vinegar cider cream
1391,Southern_SoulFood,butter wheat nectarine apricot pecan egg
1392,Italian,olive_oil black_pepper garlic cayenne
1393,Italian,butter olive_oil wheat potato chicken_broth parsley white_wine veal tomato olive lemon
1394,Italian,lemon_juice tarragon gelatin vanilla strawberry cream
1395,Greek,butter tomato lemon onion black_pepper shrimp garlic ouzo cream
1396,MiddleEastern,lamb coriander onion parsley cumin lettuce cinnamon yogurt mint bread
1397,Southwestern,olive_oil cilantro onion cayenne cumin garlic bell_pepper vegetable_oil chicken
1398,Southern_SoulFood,butter buttermilk wheat starch
1399,EasternEuropean_Russian,pistachio egg sour_cherry cream
1400,Southern_SoulFood,butter olive_oil wheat mustard onion black_pepper tabasco_pepper thyme parmesan_cheese buttermilk garlic bell_pepper chicken bread cayenne
1401,Greek,olive_oil lemon_juice cherry black_pepper chickpea cucumber oregano olive garlic bread
1402,French,lamb olive_oil lemon_juice lemon onion mint cumin garlic savory vegetable_oil egg
1403,Asian,vinegar soy_sauce black_pepper bay garlic vegetable_oil chicken rice
1404,Cajun_Creole,olive_oil chicken_broth orange_juice tabasco_pepper honey chicken
1405,American,olive_oil pepper shallot parsley white_wine fennel garlic mussel rosemary pork_sausage bread
1406,American,butter wheat mustard onion cream vanilla parsley cocoa cucumber peach chive vegetable_oil raspberry egg milk wine
1407,Asian,vinegar pepper sesame_oil mushroom cayenne ginger scallion lettuce garlic bell_pepper soybean oyster
1408,Asian,orange_peel vinegar pepper beef olive_oil orange_juice cayenne scallion garlic soybean orange vegetable_oil
1409,American,tomato olive_oil wheat onion yeast chicken_broth parmesan_cheese garlic basil egg milk
1410,American,butter lemon_juice wheat starch lemon_peel vanilla ginger maple_syrup milk_fat bartlett_pear egg milk
1411,American,olive_oil pork mustard onion white_wine fennel apple
1412,Central_SouthAmerican,olive_oil cilantro onion cheese corn cayenne cumin milk_fat bean seed garlic oregano milk cream
1413,Jewish,cane_molasses lemon_juice wheat orange_juice walnut honey cinnamon hazelnut orange vegetable_oil egg
1414,Spanish_Portuguese,olive_oil pork parsley pork_sausage sherry
1415,Italian,butter olive_oil ham black_pepper parmesan_cheese milk_fat macaroni tomato mozzarella_cheese nutmeg egg milk
1416,Asian,sesame_oil radish fish cayenne ginger scallion garlic sesame_seed cabbage
1417,Italian,butter olive_oil wheat chicken_broth sage white_wine scallop veal beef_broth lemon_peel
1418,French,butter pepper meat raisin ginger cognac
1419,Central_SouthAmerican,butter vinegar wheat beef onion yeast cayenne corn raisin cumin garlic tomato oregano olive vegetable_oil cream egg milk cinnamon
1420,American,wheat almond cocoa pistachio vegetable_oil raspberry egg milk
1421,American,raisin plum black_pepper maple_syrup milk_fat cinnamon egg milk pork_sausage bread
1422,MiddleEastern,lamb dill pepper onion garlic parsley cucumber tomato yogurt vegetable_oil bread cinnamon
1423,Southwestern,tomato cilantro cayenne chicken_broth avocado scallion cucumber bell_pepper lime_juice
1424,American,vegetable wheat lard
1425,Chinese,pepper black_pepper
1426,American,tomato olive_oil ham basil olive garlic bell_pepper mozzarella_cheese egg
1427,American,butter cane_molasses wheat corn maple_syrup pecan egg cream
1428,American,cane_molasses butter lemon_juice wheat apple vanilla oat cinnamon vegetable_oil milk cream
1429,French,olive_oil shallot chervil black_pepper parsley vegetable bean oregano chive asparagus pea basil
1430,English_Scottish,cane_molasses butter wheat maple_syrup cream
1431,Indian,milk_fat lemon_juice milk
1432,MiddleEastern,olive_oil lemon onion nut raisin squash parsley macaroni cinnamon wheat
1433,Asian,shallot peanut_oil lemongrass lime_juice cayenne
1434,American,apple black_pepper tequila cider cinnamon cranberry
1435,Asian,corn watercress garlic chicken_broth
1436,Vietnamese,olive_oil cilantro fish lime_juice ginger shrimp lettuce cucumber bell_pepper scallion mint bread
1437,Italian,olive_oil grape thyme yeast rosemary corn black_pepper walnut wheat lemon_peel
1438,Irish,butter wheat buttermilk oat egg seed whole_grain_wheat_flour
1439,Italian,coffee lemon_juice grape_brandy bean egg cream
1440,American,olive_oil cilantro vinegar radish cumin white_wine honey lettuce seed cheese
1441,Mediterranean,tomato olive_oil red_wine onion squid parsley bell_pepper oregano basil
1442,American,cane_molasses tomato pork lemon_juice onion black_bean black_pepper cayenne cilantro scallion bell_pepper pepper
1443,American,orange_peel olive_oil ham chicken_broth fennel garlic smoke sherry chicken
1444,American,butter vanilla wheat yeast corn cocoa orange yogurt egg milk wine
1445,Asian,coriander beef lime_juice soy_sauce cayenne ginger lettuce peanut_butter cream
1446,American,orange_peel vinegar cane_molasses onion cider pear ginger cinnamon cranberry lemon_peel bell_pepper
1447,American,honey orange_juice
1448,Asian,seaweed sesame_oil
1449,American,cheese coffee rum vanilla cocoa buttermilk brandy nutmeg egg cream
1450,EasternEuropean_Russian,vinegar meat cider horseradish beet egg
1451,Italian,olive_oil lemon artichoke
1452,American,tomato olive_oil mustard onion vinegar shallot cayenne red_wine black_pepper cumin meat garlic bell_pepper cherry cider tarragon
1453,English_Scottish,butter wheat buttermilk currant orange egg
1454,English_Scottish,butter wheat milk_fat egg milk cream
1455,Asian,cane_molasses soy_sauce ginger garlic chicken rice
1456,American,butter cane_molasses lemon_juice wheat apple cherry vanilla milk_fat lard vegetable milk
1457,American,nutmeg black_pepper garlic cream
1458,Mexican,tomato olive_oil vinegar fish parsley garlic basil wine
1459,Moroccan,coriander olive_oil pepper rutabaga onion fenugreek chicken_broth cilantro parsnip cumin yam garlic tomato sweet_potato turnip chicken turmeric currant cinnamon
1460,Mexican,cane_molasses olive_oil marjoram onion thyme vinegar cider bay carrot garlic
1461,American,olive_oil mustard onion potato asparagus bacon vinegar black_pepper parsley celery cucumber
1462,American,vinegar apple egg cider scallion carrot vegetable_oil cabbage seed cream
1463,American,butter wheat vanilla ginger maple_syrup milk_fat nutmeg cinnamon vegetable_oil egg milk pumpkin
1464,French,butter wheat thyme mushroom shallot nutmeg lard goat_cheese egg cream
1465,Greek,tomato olive_oil green_bell_pepper onion potato black_pepper garlic zucchini
1466,Italian,tomato olive_oil onion chicken_broth parsley parmesan_cheese white_wine garlic butter olive rice
1467,French,butter tarragon mushroom shallot parsley garlic chive
1468,Southwestern,coffee beef onion black_pepper cayenne cumin maple_syrup garlic oregano vegetable_oil lime_juice
1469,Moroccan,tomato vinegar olive_oil red_wine cayenne bell_pepper
1470,American,butter vinegar beef wheat mushroom thyme olive_oil shallot chicken_broth red_wine black_pepper bay vegetable_oil truffle beef_broth cream
1471,American,olive_oil cilantro vinegar shallot parsley honey sherry chicken
1472,French,tomato thyme onion black_pepper parsley bay celery carrot veal leek
1473,French,peach milk_fat almond pistachio gelatin milk cream
1474,Mexican,corn cilantro fish bell_pepper
1475,Mexican,butter wheat starch vanilla egg milk
1476,Southern_SoulFood,potato sage scallion cranberry vegetable_oil chicken milk cream
1477,American,tomato vinegar mustard black_pepper bacon bean cider
1478,American,butter olive_oil grape_juice parsnip honey carrot
1479,Spanish_Portuguese,octopus lemon_juice lemon bell_pepper
1480,Cajun_Creole,butter wheat starch citrus milk_fat nutmeg cinnamon cream_cheese egg milk cream
1481,Indian,cardamom black_pepper nutmeg cinnamon cumin
1482,Mexican,butter tomato cilantro onion corn cayenne scallion garlic bell_pepper zucchini
1483,Chinese,cane_molasses vinegar pork beef starch shallot peanut chicken_broth ginger garlic soy_sauce wine
1484,French,butter coriander pepper fenugreek shallot shiitake cashew cumin parsley chive garlic basil turmeric olive_oil bread
1485,Asian,vinegar pepper onion beef asparagus garlic sesame_seed soybean vegetable_oil sesame_oil
1486,Mexican,cilantro lime_juice cayenne orange seed melon
1487,Asian,vinegar pork starch soy_sauce cilantro ginger garlic vegetable_oil cabbage rice
1488,Cajun_Creole,tomato olive_oil green_bell_pepper onion thyme vinegar cayenne black_pepper bell_pepper kidney_bean rice
1489,Asian,lemon_juice sesame_oil soy_sauce lime_juice ginger scallop sesame_seed buckwheat vegetable_oil
1490,American,tomato olive_oil lemon_juice fish parmesan_cheese macaroni bell_pepper basil garlic broccoli
1491,Central_SouthAmerican,tomato olive_oil lemon onion thyme vinegar salmon cayenne garlic olive
1492,French,butter tomato pepper wheat thyme onion white_wine carrot lard bay meat
1493,American,butter vinegar coffee wheat onion beef cayenne cider cumin cilantro garlic bell_pepper oregano
1494,French,cane_molasses wheat milk_fat black_pepper pistachio fennel cinnamon raspberry egg milk cream
1495,French,butter vinegar wheat cider
1496,Thai,rice
1497,Greek,tomato olive_oil vinegar feta_cheese red_wine lettuce cucumber oregano olive
1498,Italian,butter olive_oil meat beef sage corn red_wine bacon onion cured_pork celery black_pepper carrot tomato rosemary
1499,MiddleEastern,lemon_juice roasted_sesame_seed cumin chickpea garlic sesame_seed yogurt
1500,Vietnamese,vinegar cilantro onion fish cayenne lettuce carrot vegetable_oil chicken rice egg soy_sauce bread
1501,Italian,butter cheese wheat rosemary parmesan_cheese nutmeg egg milk
1502,American,olive_oil onion beef black_pepper garlic rosemary
1503,Spanish_Portuguese,olive_oil pepper onion chicken_broth parsley saffron garlic bell_pepper smoke rice pork_sausage
1504,Asian,vegetable peanut_oil garlic cayenne
1505,Jewish,lemon_juice lemon apricot almond currant vegetable_oil egg
1506,Scandinavian,butter lemon_juice onion avocado rye_bread shrimp lettuce horseradish cream
1507,American,cane_molasses vinegar lemon_juice sesame_oil onion olive_oil honey garlic artichoke vegetable_oil tamarind egg
1508,American,butter meat thyme starch cherry soy_sauce sherry beef_broth chicken_broth
1509,American,olive_oil mushroom thyme shiitake black_pepper squash oyster
1510,Thai,coconut starch chicken_broth shrimp vegetable_oil rice lime
1511,American,tomato olive_oil thyme onion shallot bacon chicken_broth black_pepper celery bean seed garlic olive chicken carrot
1512,French,butter wheat vanilla milk_fat orange egg milk
1513,American,tomato olive_oil cilantro cauliflower potato asparagus fish bell_pepper vegetable_oil egg pea
1514,Asian,coriander fenugreek pepper chicken_broth fish cumin catfish vegetable_oil rice banana turmeric
1515,American,vegetable_oil pistachio
1516,Italian,butter onion chicken_broth red_wine parmesan_cheese chicory rice
1517,Asian,vinegar sesame_oil katsuobushi sake shiitake ginger scallion citrus soy_sauce seaweed soybean buckwheat pea wine
1518,American,goat_cheese rice macaroni ham scallion
1519,MiddleEastern,lemon garlic cumin
1520,Asian,shallot chicken_broth garlic vegetable_oil rice turmeric
1521,French,butter wheat starch cherry vanilla almond milk_fat pistachio egg milk
1522,Asian,vinegar sesame_oil soy_sauce ginger scallion carrot lobster sesame_seed cabbage rice pea
1523,Mexican,tomato olive_oil onion beef lime_juice corn cayenne garlic
1524,Italian,basil olive_oil macaroni ham parmesan_cheese
1525,American,olive_oil bean almond
1526,EasternEuropean_Russian,butter cheese grape_juice onion potato egg_noodle bacon parsley cabbage
1527,American,vinegar onion olive_oil cider parsley beet
1528,Italian,vegetable_oil cumin parmesan_cheese
